MF,CODIGO,DESCRIPCION,APLICACIÓN,PRECIO VENTA,CANTIDAD,NOTAS,TIPO REPUESTO,MARCA REPUESTO,MARCA AUTO,PRECIO
MF952,ZD1451,PASTILLAS TRASERAS 93M ZD1336,HONDA ACCORD 08-17 ACURA TSX 09-14,Q301.00,  3 ,3 JOEL,PASTILLAS,WAGNER,HONDA,
MF343,ZD409,PASTILLAS DELANTERAS 129M,"HONDA CIVIC 90-93 ACURA INTEGRA 90-93,",Q251.00,  1 ,1 MARTI,PASTILLAS,WAGNER,HONDA,
MF429,MX279,PASTILLAS TRASERAS 125M,"BMW 318i 91-92, 318is 1991, 325 86-88,",Q520.00,3,1 JOEL 1 DEISY,PASTILLAS,WAGNER,BMW,
MF787,MX920,PASTILLAS DELANTERAS 194M,BMW X5 4.6L 02-06 INGRESAR AL SISTEMA,Q350.00,2,2 JOEL SI ESTAN FISICO,PASTILLAS,WAGNER,BMW,
MF1002,MX1473,PASTILLAS TRASERAS 106M,"BMW X3 11-17, X4 15-18, 525i 528i 11-16, Z4 11-16,","Q1,330.00",1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF1007,MX1561,PASTILLAS DELANTERAS 149M SST-8772-MD1561-H-SM,"BMW X3 11-17,X4 15-17,228i 14-16, 228i xDRIVE",Q761.00,2,1 JOEL 1 MARTI,PASTILLAS,WAGNER,BMW,
,ZX1061,PASTILLAS DELANTERAS 154M,"BMW 325i 2006, 325xi 2006, 328i 2007, 328xi 2007,",Q553.00,4,3 JOEL 1 MARTI,PASTILLAS,WAGNER,BMW,
,ZX1170,PASTILLAS TRASERAS 177M,"BMW 330i 2006, 330xi 2006, 335d 09-11, 335i 07-13",Q336.00,3,3 JOEL,PASTILLAS,WAGNER,BMW,
,ZX1239,PASTILLAS TRASERAS 105M,"BMW 528i 97-00, 530i 540i 03",Q288.00,1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF900,ZX1294,PASTILLAS DELANTERAS 170M SST-8411-MD1294-H-SM,"BMW X4 17-18, X5 07-18, X6 08-19",Q763.00,3,1 JOEL 1 PETAPA 1 ZONA 9,PASTILLAS,WAGNER,BMW,
,ZX1381,PASTILLAS DELANTERAS 193M,"BMW X5 11-18, X6 08-19","Q1,132.00",2,2 JOEL,PASTILLAS,WAGNER,BMW,
,ZX253,PASTILLAS DELANTERAS 158M,BMW 528E 82-88 535i 85-88 M3 88-91,Q422.00,1,1 JOEL,PASTILLAS,WAGNER,BMW,
MF981,ZX919,PASTILLAS TRASERAS 140M,"BMW X3 08-13, X5 07-18, X6 08-19 535i, GT 07-17",Q550.00,2,1 MARTI 1 ZONA16,PASTILLAS,WAGNER,BMW,
MF943,ZD1030,PASTILLAS TRASERAS 121M,CHEVROLET EPICA 04-06 SUZUKI VERONA 04-06,Q250.00,3,3 JOEL 2,PASTILLAS,WAGNER,CHEVROLET,
MF835,ZD1092,"PASTILLAS DELANTERAS 184M ZD1363, SST-8472-MD1363-H-S, SST-7997-MD1092-H-SM",CHEVROLET AVALANCHE YUKON SUBURRBAN 07-08,Q477.00,1,1 ZONA9,PASTILLAS,WAGNER,CHEVROLET,
MF763-MF937,ZD1169,PASTILLAS DELANTERAS 178M SST-8282-MD1169-H-SM,"CHEVROLET COLORADO 09-12, TRAILBLAZER 06-09",Q352.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF815,ZD1264,PASTILLAS DELANTERAS 149M SST-8381-MD1264-H-SM VER D864,"CHEVROLET CAPTIVA SPORT 12-15, EQUINOX 07-09",Q397.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF830,ZD1361,PASTILLAS DELANTERAS 156M,CHEVROLET ASTRA 98/03 ZAFIRA 01/03 SATURN,Q430.00,1,1 JOEL,PASTILLAS,WAGNER,CHEVROLET,
MF595,ZD750,PASTILLAS TRASERAS 121M,CHEVROLET CAMARO 98-02; PONTIAC FIREBIRD,Q386.00,1,1 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF600,ZD975,PASTILLAS TRASERAS 194M SST-7707-MD975-H-SMC,CHEVROLET AVALANCHE 1500 02-06,Q409.00,3,1 PETAPA 1 ZONA9 1 MARTI,PASTILLAS,WAGNER,CHEVROLET,
MF844,ZX1362,PASTILLAS TRASERAS 96M,"CHEVROLET ASTRA,OPEL ZAFIRA 01/06 RODADO 08/09",Q404.00,4,2 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF545,ZX215,PASTILLAS DELANTERAS 125M 143M DOS MEDIDAS,"CHEVROLET CELEBRITY 83-90, LUMINA APV 90-91",Q232.00,19,14 JOEL 4 SAN JUAN 1 ZONA9,PASTILLAS,WAGNER,CHEVROLET,
MF540-MF549,QC369,PASTILLAS DELANTERAS 125M 147M DOS MEDIDAS,CHEVROLET SUBURBAN 1500 2500 88-99,Q685.00,34,32 JOEL 1 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,CHEVROLET,
MF550,ZD370,PASTILLAS DELANTERAS 125M 142M,CHEVROLET DIESEL C1500 SUBURBAN 95-99,Q350.00,,,PASTILLAS,WAGNER,CHEVROLET,
MF551,ZX376,PASTILLAS DELANTERAS 140M,"CHEVROLET LUMINA 90-01, MONTE CARLO 95-99",Q231.00,4,2 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF584,ZX377,PASTILLAS TRASERAS 106M,CHEVROLET LUMINA 90-94,Q201.00,3,3 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
MF423,ZX688,"PASTILLAS DELANTERAS 140M 93220081, SST-7563-MD688-H-SMC","CHEVROLET CELTA, MONZA; JAGUAR XJ12 95-96",Q294.00,7,4 JOEL 1 SAN JUAN 1 ZONA9 1 MARTI,PASTILLAS,WAGNER,CHEVROLET,
MF581,ZX727,PASTILLAS DELANTERAS 161M,CHEVROLET MALIBU 98-00 OLDSMOBILE CUTLASS 1999,Q341.00,3,3 SAN JUAN,PASTILLAS,WAGNER,CHEVROLET,
,ZX728,PASTILLAS DELANTERAS 128M,"SATUR SC1,SC 2, SL1, SL2, SW1, SW2 97-02",Q278.00,5,2 JOEL 3 SAN JUAN,PASTILLAS,WAGNER,SATUR,
,ZX603A,PASTILLAS TRASERAS 61M,CHRYSLER CROSSFIRE 05-06,Q339.00,1,1 SAN JUAN,PASTILLAS,WAGNER,CHRYSLER,
MF548-MF552,ZX367,PASTILLAS DELANTERAS 165M,"DODGE CARAVAN 87-88, GRAND CARAVAN 87-88",Q291.00,2,SAN JUAN,PASTILLAS,WAGNER,DODGE,
MF555,ZX522,PASTILLAS DELANTERAS 165M,"DODGE CARAVAN 91-95 R15, CHRYSLER DAYTONA 91-93",Q311.00,2,2 SAN JUAN,PASTILLAS,WAGNER,DODGE,
,ZX559,PASTILLAS TRASERAS 133M,"DODGE DAYTONA 92-93,CHRYSLER DAYTONA 92-93",Q239.00,2,2 SAN JUAN,PASTILLAS,WAGNER,DODGE,
MF561,ZX591,PASTILLAS DELANTERAS 164M,"DODGE CARAVAN, GRAND CARAVAN 96-00",Q223.00,2,1 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,DODGE,
MF439,ZX759,PASTILLAS TRASERAS 134M,"DODGE NEON 95-05, CHRYSLER CIRRUS 95-98",Q261.00,1,1 SAN JUAN,PASTILLAS,WAGNER,DODGE,
MF661,ZX856,PASTILLAS DELANTERAS 146M SST-7988-MD856-H-SMC 7732-MD856,JEEP LIBERTY 02-07; DODGE CARAVAN 01-04,Q268.00,1,1 SAN JUAN,PASTILLAS,WAGNER,JEEP,
,ZX859,PASTILLAS DELANTERAS 220M,"DODGE RAM 2500 2002, RAM 3500 2002",Q316.00,3,3 SAN JUAN,PASTILLAS,WAGNER,DODGE,
,ZX962,PASTILLAS DELANTERAS 172M,DODGE DAKOTA 03-04,Q309.00,2,2 JOEL,PASTILLAS,WAGNER,DODGE,
,ZX1536,PASTILLAS DELANTERAS 151M 8745-D1536,FIAT STILO SCHUMACHER 2.4L 06-07,Q449.00,1,1 SAN JUAN,PASTILLAS,WAGNER,FIAT,
MF526,MX450,PASTILLAS DELANTERAS 192M,FORD E-250 ECONOLINE 76-91,Q622.00,3,3 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF752-MF1012,ZD1021,"PASTILLAS TRASERAS 116M SST-8553-MD1435-SMC ZX1435 55810-62J00, SST-55810-62J00-SMC",FORD FREESTAR 04-07; MERCURY MONTEREY 04-07,Q321.00,1,1 JOEL,PASTILLAS,WAGNER,FORD,
,ZD1022,PASTILLAS DELANTERAS 178M,FORD FREESTAR 04-07 MERCURY MONTEREY 04-07,Q300.00,3,2 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZD1070,PASTILLAS DELANTERAS 182M 7975-D1070,"FORD TAURUS X 08-09, FREESTYLE 05-07",Q331.00,2,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZD1463,PASTILLAS DELANTERAS 163M 8663-D1463,FORD MUSTANG 11-14,Q765.00,2,2 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF998,ZD1508,PASTILLAS DELANTERAS 196M SST-8715-MD1508-H-SM,"FORD EXPLORER 11-18, TAURUS 12-18; LINCOLN 12-18",Q456.00,1,1 JOEL,PASTILLAS,WAGNER,FORD,
,ZX1045,PASTILLAS DELANTERAS 189M 7948-D1045,FORD E150 04-06 7948-1045,Q378.00,1,1 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZX1279,PASTILLAS TRASERAS 166M,"FORD EXPEDITION 07-17, LINCOLN MKT 13-18",Q371.00,5,3 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZX1329,PASTILLAS TRASERAS 202M,"FORD E150 08-14, E250 08-14, E350 SUPER DUTY",Q336.00,3,2 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZX1334,PASTILLAS TRASERAS 178M,"FORD F250 SUPER DUTY 08-10, F350 SUPER DUTY",Q939.00,2,2 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZX1612,PASTILLAS TRASERAS 117M 8825-D1612,"FORD EXPLORER 13-16, TAURUS 13-17",Q534.00,1,1 MARTI,PASTILLAS,WAGNER,FORD,
,ZX1680,PASTILLAS DELANTERAS 213M,FORD 250/350 SD 13-17,Q800.00,2,3 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF537,ZX310,PASTILLAS DELANTERAS 177M 132M DOS MEDIDAS,FORD MUSTANG 79-93,Q230.00,4,4 JOEL,PASTILLAS,WAGNER,FORD,
MF547,ZX326,PASTILLAS DELANTERAS 170M 160M DOS MEDIAS,"FORD AEROSTAR 86-87, BRONCO II 86-87",Q218.00,2,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF662,ZX600,PASTILLAS DELANTERAS 137M,"FORD MUSTANG 94-98, THUNDERBIRD 93-97",Q279.00,4,1 JOEL 3 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF394,ZD601,PASTILLAS DELANTERAS 124M 7536-MD656,FORD TAURUS 94-00; MERCURY SABLE 94-00,Q214.00,3,3 JOEL,PASTILLAS,WAGNER,FORD,
MF588,ZX655,PASTILLAS DELANTERAS 220M SST-7535-MD655-H-SMC,"FORD F250 95-98, E250 95-07, E350 95-07",Q331.00,1,1 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZX801,PASTILLAS DELANTERAS 156M 7672-D801,FORD CONTOUR 98-00 MERCURY COUGAR 99-02,Q499.00,2,2 SAN JUAN,PASTILLAS,WAGNER,FORD,
MF719,ZX886,PASTILLAS TRASERAS 86M,"FORD FOCUS 00-06., FORD FIESTA 14-19",Q415.00,7,4 JOEL 3 SAN JUAN,PASTILLAS,WAGNER,FORD,
,ZD1104,PASTILLAS DELANTERAS 142M,HYUNDAI TIBURON 04-06,Q310.00,2,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,HYUNDAI,
MF753,ZD1181,PASTILLAS DELANTERAS 176M SST-7985-MD1080-H-SM 7985-MD1080,JEEP GRAND CHEROKEE 06-10 COMMANDER 06-10,Q315.00,,,PASTILLAS,WAGNER,JEEP,
MF983,ZD1498,PASTILLAS TRASERAS 140M,"JEEP GRAND CHEROKEE 11-15, DURANGO 11-15",Q495.00,3,3 JOEL,PASTILLAS,WAGNER,JEEP,
,ZX1149,PASTILLAS DELANTERAS 140M,JEEP GRAND CHEROKEE 06-10,Q373.00,2,2 SAN JUAN,PASTILLAS,WAGNER,JEEP,
.,ZX1270,PASTILLAS TRASERAS 110M 7831-D1270,JEEP GRAND CHEROKEE 06-09,Q766.00,1,1 SAN JUAN,PASTILLAS,WAGNER,JEEP,
MF583,ZX942,PASTILLAS DELANTERAS 142M,JEEP GRAND CHEROKEE 99-02,Q282.00,1,1 SAN JUAN,PASTILLAS,WAGNER,JEEP,
MF770,ZD1074,PASTILLAS DELANTERAS 165M,"KIA SPECTRA 04-09, KIA SPECTRA5 05-09",Q302.00,2,1 JOEL 1 PETAPA,PASTILLAS,WAGNER,KIA,
MF566,ZX670,PASTILLAS DELANTERAS 165M 172M SON DOS MEDIDAS 7550-MD670-KS1,KIA SPORTAGE 95-97,Q351.00,2,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,KIA,
,ZX693,PASTILLAS TRASERAS 62M 7568-D693,"KIA SEPHIA 94-97, VOLKSWAGEN POINTER 00-07",Q281.00,3,3 SAN JUAN,PASTILLAS,WAGNER,KIA,
,ZD1179,PASTILLAS DELANTERAS 123M,MAZDA MX-5 MIATA 06-15,Q356.00,2,2 JOEL,PASTILLAS,WAGNER,MAZDA,
,ZD1180,PASTILLAS TRASERAS 99M,MAZDA MX-5 MIATA 06-17,Q367.00,1,1 SAN JUAN,PASTILLAS,WAGNER,MAZDA,
MF383,ZD366,PASTILLAS TRASERAS 101M,"MAZDA 323 86-89, MX3 92-96",Q269.00,2,1 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,MAZDA,
MF420,ZD636,PASTILLAS TRASERAS 102M 7682-MD663,MAZDA MIATA 94-05,Q230.00,2,2 SAN SAN,PASTILLAS,WAGNER,MAZDA,
MF420,ZD663,PASTILLAS TRASERAS 102M 7682-MD663,MAZDA PROTEGE 95-98;FORD ESCORT 97-98,Q274.00,1,1 SAN JUAN,PASTILLAS,WAGNER,MAZDA,
MF922,ZX1009,PASTILLAS DELANTERAS 138M,MAZDA RX-8 04-07,Q429.00,1,SAN JUAN,PASTILLAS,WAGNER,MAZDA,
MF846,ZX1186,PASTILLAS DELANTERAS 155M,"MAZDA 6  06-07, MAZDA 6 SPEED AGENCIA 3.0L 06-10",Q605.00,3,2 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,MAZDA,
MF329-MF336,ZX319,PASTILLAS DELANTERAS 91M 7219-D319,MAZDA 323 86-88; MERCURY CAPRI 91-94,Q276.00,2,1 PETAPA 1 ZONA9,PASTILLAS,WAGNER,MAZDA,
MF684,ZX973A,"PASTILLAS TRASERAS 122M SST-7957-MD973-H-SMC, 7957-D973, SST-7957-MD973-ECO","MAZDA 3 L4 2.0L, MAZDA 3 03-09, 04-05, MAZDA 5 06",Q295.00,2,1 JOEL 1 MARTI,PASTILLAS,WAGNER,MAZDA,
MF399,ZD530,Pastillas delanteras,"MITSUBISHI GALANT 6 CIL. 91-00, MONTERO 92-00",Q255.00,  1 ,1 PETAPA,PASTILLAS,WAGNER,MITSUBISHI,
,ZD1552,PASTILLAS DELANTERAS 159M D1060-1JA0A,NISSAN QUEST 11-16,Q515.00,  2 ,2 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF324,ZD887,Pastillas delanteras ZD462 41060-6J090 /65E90/31U90/8J090,NISSAN SENTRA B15 1.8 00-05,Q246.00,  1 ,1 MARTI,PASTILLAS,WAGNER,NISSAN,
MF355,ZD549,PASTILLAS DELANTERAS 128M 41060-54C88,"NISSAN NX 91-93 2.0L L4 1998CC, SENTRA 91-94",Q389.00,  7 ,5 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF465,ZD595,"PASTILLAS TRASERAS 105M ZD540A, 44060-61J92","NISSAN ALTIMA 93-97, MAXIMA 91-94",Q242.00,  3 ,3 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF438,ZD669,PASTILLAS TRASERAS 100M 44060-0M890 / 0M800,"NISSAN 200SX 95-98, SENTRA 95-99",Q337.00,  4 ,2 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF325,ZD509,PASTILLAS DELANTERAS 115M 41060-58Y85 / 58Y87,NISSAN NX 91-93 2.0L L4 1998CC,Q448.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF326,ZX510,"PASTILLAS DELANTERAS 109M SST-7389-MD510-H-SMC, 7389-D510, D1060-50Y90 / 92 41060-50Y90 /93",NISSAN NX 91-93 1.6L L4 1597CC,Q180.00,  7 ,5 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
MF327,ZD511,PASTILLAS TRASERAS 98M 44060-58Y85 / 44060-58Y86,"NISSAN NX 91-93, SENTRA 91-94",Q261.00,1,1 SAN JUAN,PASTILLAS,WAGNER,NISSAN,
,MX345,PASTILLAS DELANTERAS 98M,PORSCHE CARRERA 81-98,Q576.00,  2 ,2 SAN JUAN,PASTILLAS,WAGNER,PORSCHE,
,ZX1406,PASTILLAS DELANTERAS 165M,MERCEDES BENZ GLK350 10-12,Q635.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZD1340,PASTILLAS DELANTERAS 146M,"MERCEDES BENZ C250, SLK, 12-15 C300 08-12",Q459.00,  3 ,1 JOEL 1 SAN JUAN 1 ZONA9,PASTILLAS,WAGNER,MERCEDES BENZ,
MF853,ZX760,PASTILLAS DELANTERAS 188M,MERCEDES BENS LM320 98-03,Q261.00,  8 ,6 JOEL 1 SAN 1 ZONA9 1 MARTI,PASTILLAS,WAGNER,MERCEDES BENZ,
MF929,ZD645,PASTILLAS DELANTERAS 110M,"MERCEDES BENZ C230 97-98, CLK350 07-09",Q396.00,  3 ,3 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
MF968,ZX1121,PASTILLAS DELANTERAS 102M,"MERCEDES BENZ C230 03-07, C240 02-04",Q307.00,  3 ,1 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
MF924,ZX1122,PASTILLAS TRASERAS 142M,"MERCEDEZ BENZ G55 AMG 09-11, G63 AMG 13-17",Q482.00,  1 ,1 JOEL,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZX1123,PASTILLAS DELANTERAS 194M,MERCEDES BENZ ML350 06-10,Q480.00,  4 ,1 JOEL 2 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZX1341,PASTILLAS TRASERAS 123M,MERCEDES BENZ C300 C350 08-14 C250 E350 10-14,Q577.00,  4 ,2 JOEL 2 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
MF776,ZX495,PASTILLAS TRASERAS .62M,"MERCEDES BENZ 300CE 90-93, 300E 1993",Q566.00,  2 ,2 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZX710,PASTILLAS DELANTERAS 151M 7583-D710,MERCEDES BENZ C230 99-00,Q590.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
MF915,ZX853,PASTILLAS DELANTERAS 156M,MERCEDES BENZ CLK 320/430 98-04,Q524.00,  3 ,2 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
MF969,ZX875,PASTILLAS TRASERAS 140M,"MERCEDES BENZ ML320 99-03, ML350 03-05",Q467.00,  2 ,1 SAN JUAN 1 ZONA 9,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZX876,PASTILLAS TRASERAS 64M,"MERCEDES BENZ C230 03-07, C240 03-05",Q412.00,  2 ,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,MERCEDES BENZ,
,ZD876,PASTILLAS TRASERAS 64M,"MERCEDES BENZ C230 03-07, C240 03-05",Q294.00,  1 ,1 JOEL,PASTILLAS,WAGNER,MERCEDES BENZ,
MF681,MX926,PASTILLAS DELANTERAS 132M,LAND ROVER FREELANDER 02-05,Q925.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,LAND ROVER,
MF884,QC1098,"PASTILLAS DELANTERAS 163M QC1098, ZD1098, ZX1098",LAND ROVER RANGE ROVER DISCOVERY 05-09,Q645.00,  18 ,13 JOEL 5 SAN JUAN,PASTILLAS,WAGNER,LAND ROVER,
MF884,ZX1098,"PASTILLAS DELANTERAS 163M QC1098, ZD1098, ZX1098",LAND ROVER RANGE ROVER DISCOVERY 05-09,Q394.00,  5 ,3 JOEL 1 SAN JUAN 1 ZONA9,PASTILLAS,WAGNER,LAND ROVER,
MF868,ZX1099,PASTILLAS TRASERAS 117M,LAND ROVER RANGE ROVER 06-12,Q394.00,  5 ,5 JOEL,PASTILLAS,WAGNER,LAND ROVER,
,ZX1306,PASTILLAS DELANTERAS 155M,LAND ROVER LR2 08-15,Q552.00,  2 ,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,LAND ROVER,
,ZX1314,PASTILLAS TRASERAS 95M,LAND ROVER LR2 08-13; VOLVO S80 07-09,Q426.00,  2 ,2 JOEL,PASTILLAS,WAGNER,LAND ROVER,
MF412-MF369,ZX518,PASTILLAS TRASERAS 89M,LAND ROVER DEFENDER 110 1993,Q414.00,  6 ,5 JOEL 1 MAYOREO,PASTILLAS,WAGNER,LAND ROVER,
MF450,ZX676,PASTILLAS TRASERAS 145M CON SENSOR,LAND ROVER DICOVERY 99-04,Q414.00,  2 ,2 JOEL,PASTILLAS,WAGNER,LAND ROVER,
 MF779 ,ZX1111,PASTILLAS DELANTERAS 155M,"AUDI 05-09, AUDI A6 06-11, VOLVO S40 05-07",Q470.00,  1 ,1 JOEL,PASTILLAS,WAGNER,AUDI,
MF431,ZX555A,"PASTILLAS DELANTERAS 157M CON SENSOR 7434-MD555, ZX836 SIN SESOR","AUDI A4 A6 95-99,VOLKSWAGEN GOLF 96-98",Q387.00,  1 ,1 JOEL,PASTILLAS,WAGNER,AUDI,
MF850,ZX910,PASTILLAS DELANTERAS 149M,"JAGUAR X-TYPE 02-08, MONDEO 00-07",Q483.00,3,1 DEISY 2 ZONA 9,PASTILLAS,WAGNER,JAGUAR,
MF876,ZX1143,PASTILLAS DELANTERAS 131M FDB1378 CON SEGUROS,PEUGEOT 206 XT 01-08,Q361.00,  3 ,2 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,PEUGEOT,
MF603-MF875,ZX1482,PASTILLAS TRASERAS 105M WX1482 FDB558,PEUGEOT 206 02-08 8658-D1482,Q382.00,  20 ,18 JOEL 1 SAN JUAN 1 ZONA 9,PASTILLAS,WAGNER,PEUGEOT,
,ZX1252,PASTILLAS DELANTERAS 90M,SMART FORTWO 05-16,Q581.00,  5 ,1 JOEL 4 SAN JUAN,PASTILLAS,WAGNER,SMART,
,ZD1078,PASTILLAS DELANTERAS 157M,"SUBARU B9 TRIBECA 06-07, FORESTER 14-18",Q396.00,  6 ,2 JOEL 3 SAN JUAN 1 ZONA9,PASTILLAS,WAGNER,SUBARU,
MF677,ZD721,PASTILLAS DELANTERAS 138M,"SUBARU FORESTER 98-02, IMPREZA 98-03",Q266.00,  3 ,1 JOEL 1 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,SUBARU,
MF493,ZX722,PASTILLAS DELANTERAS 138M,,Q355.00,  2 ,2 SAN JUAN,PASTILLAS,WAGNER,NO INGRESADO,
MF651,ZD1051,"PASTILLAS TRASERAS 120M SST-7955-MD1051-H-SM,",TOYOTA RAV4 04-05,Q272.00,  -   ,,PASTILLAS,WAGNER,TOYOTA,
MF872,ZD1303,PASTILLAS DELANTERAS 144M SST-8419-MD1303-H-SM,"TOYOTA TUNDRA 07-19, SEQUOIA 08-19",Q481.00,  1 ,1 JOEL,PASTILLAS,WAGNER,TOYOTA,
MF997,ZD1391,PASTILLAS TRASERAS 115M SST-8500-MD1391-H-SM,"TOYOTA SIENNA 11-18, HIGHLANDER",Q340.00,  3 ,1 ZONA9 1 MARTI 1 PRADERA,PASTILLAS,WAGNER,TOYOTA,
,ZD352,PASTILLAS TRASERAS 108M,"TOYOTA COROLLA 87-92 GEO, PRIZM 89-92",Q255.00,  1 ,SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
MF334,ZD356,PASTILLAS TRASERAS 120M,"TOYOTA CAMRY 87-91, CELICA 90-93",Q278.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
MF402,ZD604,PASTILLAS DELANTERAS 133M 7485-MD604-KS1,TOYOTA T100 93-98 RWD 1/2 TON.,Q308.00,1,SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
MF392,ZD611,PASTILLAS DELANTERAS 119M SST-7298-MD611-H-SMC,"TOYOTA 4RUNNER 91-95, T100 94-98 4WD",Q243.00,  -   ,,PASTILLAS,WAGNER,TOYOTA,
,ZD716,PASTILLAS DELANTERAS 128M,TOYOTA PREVIA 1997,Q510.00,  4 ,2 JOEL 2 SAN JAN,PASTILLAS,WAGNER,TOYOTA,
MF822,ZD799,"PASTILLAS DELANTERAS 119M 7671-D799, SST-7671-MD799-H-SMC DOBLE CABINA 00-03 2WD",TOYOTA TACOMA 4WD 99-04,Q238.00,1,1 JOEL,PASTILLAS,WAGNER,TOYOTA,
MF480-MF650,ZD812,PASTILLAS DELANTERAS 119M VER MX772,"TOYOTA SEQUOIA 01-03, TUNDRA 00-03",Q257.00,  1 ,1 MARTI,PASTILLAS,WAGNER,TOYOTA,
MF668,ZD823,PASTILLAS TRASERAS 78M SST-7696-MD823-H-SMC VER ZD1051,"TOYOTA CELICA 00-05, COROLLA 04-06, MATRIX 03-08",Q170.00,  3 ,1 JOEL 1 SAN JUAN 1 MARTI,PASTILLAS,WAGNER,TOYOTA,
MF717,ZD828,PASTILLAS TRASERAS 99M,"TOYOTA AVALON 00-07, CAMRY 00-06, SOLARA 99-08",Q231.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
MF248-MF241,ZX282,PASTILLAS DELANTERAS 107M,TOYOTA COROLLA 81-87,Q222.00,  2 ,1 JOEL 1 SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
MF604,ZX582,PASTILLAS DELANTERAS 141M,"TOYOTA CORONA 05, MR 92-95",Q477.00,  1 ,1 SAN JUAN,PASTILLAS,WAGNER,TOYOTA,
,ZX605,PASTILLAS DELANTERAS 140M,TOYOTA T100 93-98 RWD 1/2 TON. 8731-D1593,Q308.00,  3 ,1 JOEL 1 PETAPA 1 MARTI,PASTILLAS,WAGNER,TOYOTA,
MF855,ZD1567,"PASTILLAS DELANTERAS 144M, 04465-OK300, 8776-D1567. SST-8776-MD1567-ECO, SST-8776-MD1567-SMC",TOYOTA HILUX VIGO 4WD 07-14 VIGO USA 09-11,Q318.00,  157 ,143 JOEL 1 PETAPA 1 DEISY 11 MARTI 3 SAN CRISTOBAL,PASTILLAS,WAGNER,TOYOTA,
MF650-MF480,ZX772,PASTILLAS DELANTERAS 120M VER ZD812,"TOYOTA LAND CRUISER 98-07., LEXUS LX470 98-07",Q302.00,  1 ,1 JOEL,PASTILLAS,WAGNER,TOYOTA,
,ZX1178,PASTILLAS DELANTERAS 155M,LEXUS IS250 06-15,Q441.00,  3 ,3 SAN JUAN,PASTILLAS,WAGNER,LEXUS,
